整租·嘉隆国际广场 2室2厅 南,,2600
整租·瑞和新苑浦涛路400弄 2室2厅 南,精选,3800
整租·新泾四村 2室1厅 南,,5800
整租·绿地香颂(浦东)(别墅) 4室2厅 南/北,,28888
整租·西凌新邨 1室0厅 北,,5000
整租·瑞虹新城(一期) 1室1厅 南,精选,10500
整租·重新小区 1室1厅 东,,4800
整租·梅园新村(浦东) 1室1厅 南,,6500
整租·桃园新村(宝山) 1室1厅 南,,3200
整租·富力虹桥十号 3室2厅 南,精选,9500
整租·春申玫瑰苑 2室2厅 南,,7000
整租·虹康昭晖苑 1室2厅 南,精选,13500
整租·青春驿站 1室1厅 南,,4300
整租·嘉发大厦 3室2厅 南,精选,26800
整租·钰丰商都 3室2厅 南,,4100
整租·苏河湾中心润府 2室2厅 南,精选,22000
整租·保利西子湾 2室2厅 南,,4900
整租·宝地东花园 2室2厅 南,精选,13000
整租·尚都国际酒店公寓 1室1厅 南,,2800
整租·一天下大厦 1室1厅 南,,5200
整租·独立时代 1室0厅 南,,4990
整租·竹园新村(浦东) 1室1厅 南,,5600
整租·高尚领域 3室2厅 南,,12350
整租·沙田大厦(公寓) 2室2厅 南,,7500
整租·上海派 4室1厅 南/北,,4600
整租·黄浦众鑫城 3室2厅 南,,29800
整租·源达大厦 1室1厅 西南,,8800
整租·远洋香奈 3室2厅 南,,6800
整租·光语著 3室2厅 南,,3000
整租·尚都国际酒店公寓 2室2厅 南,,3700
整租·中海万锦城(二期) 2室1厅 东南,,10500
整租·紫薇茗庭 2室1厅 南,,3000
整租·水都南岸(一期) 2室2厅 南/北,,3000
整租·新中苑 2室2厅 南,,16000
整租·金杨新村五街坊 1室1厅 南,,4300
整租·骏豪国际 1室1厅 东南,,6000
整租·光语著 3室1厅 南,,1800
整租·新凯一期 2室1厅 南,,4500
整租·二联馨苑 3室2厅 南/北,,8500
整租·上城Uptown 1室2厅 南,,14000
整租·云麓之城 2室1厅 跃层 南,,4000
整租·金杨六街坊 2室1厅 南/北,,5800
整租·香梅花园(三-五期) 1室2厅 南,,12000
整租·寺前浜 1室1厅 南,,3500
整租·南郊一品 1室1厅 北,,2200
整租·光大会展中心 2室1厅 西,,10500
整租·鞍山四村第三小区 2室1厅 南/北,,5900
整租·南山雨果东区 2室2厅 南,,6000
整租·霍山大楼 2室1厅 南/北,,9200
整租·平南一二村 2室1厅 南,,6900
整租·志丹小区  1室0厅 北,,3400
整租·三江小区 1室0厅 南,,5500
整租·龙湖北城天街 1室1厅 北,精选,3290
整租·绿城黄浦湾 4室2厅 南,精选,63000
整租·虹欣小区 1室1厅 南,精选,5190
整租·阳明国际花苑一二三期 2室2厅 南,,7500
整租·报春一村 2室1厅 南,,4500
整租·上钢八九村 2室1厅 东南,,6000
整租·康泰新城 3室1厅 南,,7300
整租·国和二村 2室1厅 南/北,,6500
整租·黎明花园 2室1厅 南,精选,5590
整租·阳光城市家园 2室2厅 南,,7500
整租·外滩99 2室2厅 南,精选,13500
整租·天环苑 2室2厅 南/北,,2800
整租·杨泰三村 2室1厅 南,,4300
整租·上南五村 2室0厅 南/北,,5500
整租·真光第四小区 2室1厅 南,,5800
整租·保利西子湾 2室2厅 南,,5300
整租·宁康小区 2室1厅 南,,6800
整租·锦苑小区(虹口) 2室1厅 南,精选,4660
整租·晶鼎大厦 2室2厅 北,,3200
整租·汇成五村 1室1厅 南,精选,5130
整租·金融家 3室2厅 南/北,,9300
整租·翔瑞新苑 2室2厅 南,,4800
整租·鹏润伊顿公馆 2室2厅 南,,4200
整租·新凯城银杏苑 2室1厅 南,,4300
整租·生安花苑 3室2厅 南,,11800
整租·高兴花园二三四街坊 1室1厅 南,,4100
整租·殷行路590弄 2室1厅 南,精选,6200
整租·通海一小区 1室1厅 南,,3200
整租·潼港一村 1室1厅 南,,4000
整租·红明一村 1室1厅 南,,5000
整租·中原新村 1室1厅 南,精选,5430
整租·东方帕堤欧 3室2厅 南/北,,5000
整租·信达蓝爵 2室2厅 复式 南,,8500
整租·天钥新村 1室0厅 南,,3000
整租·塘南路1-9号(单) 1室1厅 南,,4800
整租·洛川东路1100弄 1室1厅 南,精选,5330
整租·滨江公园壹号 3室2厅 南/北,,8100
整租·由由六村 2室1厅 南,,5500
整租·杨家宅小区 1室1厅 南,精选,5330
整租·上南五村 2室1厅 南,精选,7000
整租·保利玲珑公馆 3室1厅 南/北,,2400
整租·西凌新邨 1室1厅 南,精选,6260
整租·紫薇园 1室1厅 南,精选,6660
整租·虹叶茗园 2室2厅 南,精选,12000
整租·中远两湾城 2室2厅 南,,10500
整租·南山雨果西区 3室2厅 南/北,,6300
整租·广顺小区 2室1厅 南,,8500
整租·仁恒西郊花园 4室2厅 南,,20000
整租·沪新小区 2室1厅 南,,5800
